,-0.32536580198201176
s58,-0.5255200413875354
a62,-0.18616592571127283
cl70,-0.225890804801812
i58,-0.22921955888994022
c58,-0.16709742870357486
v66,-0.3188060911883699
a58,-0.21093537217695058
s66,-0.10687219209827355
a70,-0.20455049675884734
cl62,-0.11884236078035582
i66,-0.28215232680498875
v58,-0.15279592434764264
s62,-0.09814785820569275
c70,-0.32361502490747
cl58,-0.280133580114955
i70,-0.1691500980674463
v62,-0.28660587696221923
a66,-0.2590136163970371
c62,-0.15490081139669212
s70,-0.3276154737210147
cl66,-4.830470339299909
i62,-1.6603921204628205
v70,-2.683482998196028
c66,-2.188469764444124
