,0.0
c66,-0.06287646230514884
s58,-0.02995799304410671
a62,-0.011149720477706118
cl70,-0.08341521537643894
i58,-0.026388796060849273
c58,-0.552923681028325
v66,-0.036805004018949226
a58,-0.020832221499701743
s66,-0.013922473290952428
a70,-0.018189849824074372
cl62,-0.0320984118763047
i66,-0.026332555241255204
v58,-0.02011797390542626
s62,-0.04235362927458159
c70,-0.032128784517582526
cl58,-0.12178445155992274
i70,-0.015778803063079418
v62,-0.02916480020155059
a66,-0.019684905973998294
c62,-0.05872353219185662
s70,-1.1988239388385649
cl66,-0.5077779704048159
i62,-0.4441648862281129
v70,-0.5334039906311405
