,0.0
a66,0.0
c62,-0.09109838885975231
s70,-0.012031523582093136
cl66,-0.11124056159470988
i62,-0.10904315652291927
v70,-0.060833944360019945
c66,-0.11485660111106924
s58,-0.058840343469454125
a62,-0.12836468424730932
cl70,-0.024596786446040242
i58,0.0
c58,-0.025454843896571155
v66,0.0
a58,-0.04956692061700341
s66,-0.10516295793510327
a70,-0.21206711316778734
cl62,-0.07242470605953452
i66,-0.09357667186789104
v58,0.0
s62,0.0
c70,-0.42874156671004005
cl58,-0.37324660433227397
i70,-0.3369635827831941
v62,-2.197501765054252
