,0.0
v62,-0.011454332968927991
a66,0.0
c62,-0.01613471591412632
s70,-0.032040737730698966
cl66,-0.028141672109512326
i62,-0.014792627871636954
v70,-0.03292472263703936
c66,-0.01613471591412632
s58,-0.015433463736112202
a62,0.0
cl70,-0.06286866845445704
i58,-0.23400882304992576
c58,-0.016379856625528794
v66,-0.013149002552566182
a58,-0.06346973182541958
s66,-0.050071401720172014
a70,0.0
cl62,0.0
i66,-0.035118369710110495
v58,-0.014902202892908339
s62,-0.4550120074195214
c70,-0.22949361742471536
cl58,-0.5500762406213893
i70,-0.1311265290935072
