,-0.012739260263392732
cl58,-0.04440094996519649
i70,-0.014204440884544738
v62,0.0
a66,-0.0211991295104597
c62,-0.018660149709380874
s70,-0.06819000034048671
cl66,-0.044783738833922206
i62,-0.020591432744971248
v70,-0.1465545340713837
c66,0.0
s58,-0.034093613445493075
a62,-0.01579118830881182
cl70,-0.05961539818064679
i58,-0.06297649264820367
c58,-0.03162499203021784
v66,-0.02182092089036556
a58,-0.008335734207826018
s66,-0.023111643338990018
a70,0.0
cl62,-0.016562012416089414
i66,-0.320567199541786
v58,-0.4068271136400047
s62,-0.46153220411220236
c70,-0.9513869652254967
