,0.0
i58,-0.009988612636411142
c58,-0.018883054701459664
v66,0.0
a58,-0.11727580084399725
s66,-0.047595621167344025
a70,-0.10842790121135079
cl62,-0.19479647067924258
i66,-0.06183151302006714
v58,-0.15318620943323089
s62,-0.02694871065071988
c70,-0.013922473290952428
cl58,-0.10000596279664266
i70,-0.13091160627659487
v62,-0.12913502079521044
a66,-0.09281648860634951
c62,-0.2873996272203751
s70,-0.011834102297309563
cl66,-0.08156981225411475
i62,-0.04195217307292679
v70,-0.06824595308513567
c66,-0.9777528916703391
s58,-0.73680941534172
a62,-0.9925090340633842
cl70,-1.572128215373128
