,-0.21612262541856414
i58,-0.5259679288898809
c58,-0.15177418779283317
v66,-0.026970491870353965
a58,-0.03641262245326019
s66,-0.07154837937232393
a70,-0.06136067693203501
cl62,-0.15303536319287517
i66,-0.07100461378385738
v58,-0.0664600427747387
s62,-0.03797043657173503
c70,-0.1360556253784648
cl58,-0.010303699823521771
i70,-0.030394442496661386
v62,-0.14200922756771475
a66,0.0
c62,-0.06349812969555435
s70,-0.12849823905128388
cl66,-0.0960940067316356
i62,-0.04038369228491063
v70,-0.1937262588019832
c66,-0.8083577369367915
s58,-0.12645583597696503
a62,-2.3451877282018403
cl70,-2.5080164633069706
