,0.07279693486590039
a58,0.07993730407523511
s66,0.09166666666666667
a70,0.043478260869565216
cl62,0.020833333333333332
i66,0.10833333333333334
v58,0.06620553359683795
s62,0.04257246376811594
c70,0.023809523809523808
cl58,0.10521739130434782
i70,0.075
v62,0.1068840579710145
a66,0.06944444444444445
c62,0.0
s70,0.075
cl66,0.025
i62,0.07631578947368421
v70,0.10531135531135531
c66,0.027777777777777776
s58,0.025
a62,0.08193979933110368
cl70,0.28482972136222906
i58,0.08333333333333333
c58,0.424812030075188
v66,0.6285714285714286
