,-1.9006882195117588e-16
a70,1.882383665675394e-16
cl62,2.5343088761425195e-16
i66,1.1398800024537646e-16
v58,7.939429905153906e-17
s62,-6.459712670874366e-17
c70,1.5970109333780325e-17
cl58,8.74800025981691e-20
i70,-1.29254978408073e-16
v62,0.0
a66,0.0
c62,0.0
s70,-9.998790935488173e-17
cl66,-1.4433577412298765e-16
i62,1.7115156845864598e-16
v70,-9.783133761362603e-18
c66,1.0111520614100675e-16
s58,-6.664811730576967e-17
a62,1.7468290714054907e-16
cl70,-6.419921534660801e-17
i58,-1.7098326394551198e-16
c58,-5.099327353248853e-16
v66,2.3568059113052066e-18
a58,-2.706546971582053e-17
s66,1.2028482396606764e-16
