,1.0198551041842374e-16
v70,1.1850387613107108e-16
c66,2.5346602448989777e-16
s58,-2.2559970796736943e-16
a62,2.550930869105796e-17
cl70,1.1039565617817487e-16
i58,-1.812562787316424e-16
c58,2.4485083613140746e-16
v66,-1.3410391770506268e-16
a58,0.0
s66,0.0
a70,0.0
cl62,-3.4872895856386993e-16
i66,-5.167780605729117e-17
v58,1.8777773034797703e-16
s62,-1.1492428870743545e-16
c70,-8.595175789978043e-17
cl58,8.781680001755058e-17
i70,-5.146087209733997e-17
v62,-2.169304548604997e-17
a66,1.8375299108133168e-16
c62,-1.0900679558138454e-16
s70,2.48190591510919e-16
cl66,-2.6807693883111533e-17
i62,-1.0568365751832798e-18
