ÐòºÅ,a58_intelligibility_bm25,a62_intelligibility_bm25,a66_intelligibility_bm25,a70_intelligibility_bm25,c58_intelligibility_bm25,c62_intelligibility_bm25,c66_intelligibility_bm25,c70_intelligibility_bm25,cl58_intelligibility_bm25,cl62_intelligibility_bm25,cl66_intelligibility_bm25,cl70_intelligibility_bm25,i58_intelligibility_bm25,i62_intelligibility_bm25,i66_intelligibility_bm25,i70_intelligibility_bm25,s58_intelligibility_bm25,s62_intelligibility_bm25,s66_intelligibility_bm25,s70_intelligibility_bm25,v58_intelligibility_bm25,v62_intelligibility_bm25,v66_intelligibility_bm25,v70_intelligibility_bm25
01-21377035,-0.578544491,-0.101915398,0,-0.027895925,-1.620579224,-0.031939523,0,-0.01650606,-0.029585256,-0.096472428,-0.086408579,-0.023993849,-0.025407147,-0.102792567,-0.029531757,0,-0.030950729,-0.01339788,-2.302445093,-0.121733391,-0.203497435,-0.06527482,-0.088947004,-0.030114002
02-22377202,-2.213109886,-0.060763754,-0.013922473,0,-0.837899173,-0.028027711,-0.045864811,-0.084608663,-0.008838583,-0.031256739,-0.011087338,-0.053101146,-1.891449941,-0.05849893,-0.0243128,-0.086219888,-0.052385823,-0.103787359,-0.010595681,-0.015433464,-0.052907505,-0.023695242,-0.920608464,-0.109830174
03-21377053,-0.094458096,-0.049424653,-0.078549634,-0.009060581,-1.480185539,-0.019684906,-0.089388238,0,-0.041952173,-0.022532921,-0.051515028,-2.502515104,-0.643486665,-0.043821329,-0.069749356,0,-0.048229184,-0.036129961,-0.084196935,-0.051787624,-0.211035658,-0.013922473,-1.271190659,-0.108627184
04-21377256,-0.008234272,-0.610893696,-0.019684906,-0.016462361,-1.626083037,-0.012031524,-0.019684906,-0.053695031,-0.013149003,-0.051905407,-0.109553323,-0.403978207,-0.699255932,-0.015778803,-0.014792628,-0.013922473,-0.025776397,-0.020832221,-0.014491761,-0.026941591,-0.047717351,-0.071191325,0,-0.017305784
05-21377006,0,-0.760760441,-0.047381043,-0.059071677,-0.051964862,-0.023628819,-0.100024849,-0.01818985,-0.025188539,-0.092393357,-0.021290259,-0.651096404,-1.502384001,-0.154962626,-0.109553323,-0.108048672,-1.058629632,-0.094561329,-0.13212924,-0.119287751,-0.027961012,-0.059170511,-0.019365727,-0.030866927
06-21377242,-0.024336244,-0.510548084,-0.030488347,-0.063924874,-0.061790783,-0.050071402,-0.979320235,-0.030226092,-0.022763577,-0.148873007,-0.07995543,-1.647569276,-0.041214799,-0.078855417,-0.011703301,-0.065849445,-0.332313091,-0.014491761,-0.057159146,-0.009456157,-0.034369136,-0.047381043,-0.011087338,0
07-sy2308207,-0.057486701,-1.283048406,-0.014792628,0,-0.031256739,-0.01013611,-0.244867966,-0.029821478,-0.019684906,-0.026936795,-0.066373025,-0.084293247,-0.025688397,-0.02282538,-0.011635612,-0.07973719,-0.547661366,-0.062869529,-0.103367881,-0.245672947,-0.059608812,-0.013235509,-0.012282035,-0.271928768
08-21377175,-0.103367881,-0.053892793,-0.015778803,-0.020832221,-0.032040738,-0.070666434,-1.13816051,-0.085859318,-0.073298419,-0.012677994,-0.026933344,-0.029957993,-0.014491761,-0.549886635,-0.01818985,-0.018206311,-1.189197458,-0.012915618,-0.045302423,-0.069128495,-0.028715101,-0.01650606,-0.031939523,-0.205642154
09-21377163,-0.087648895,-0.024954503,-0.074049745,-0.049128141,-0.028831343,-0.074603975,-0.925906498,-0.01818985,-0.018206311,0,-0.463775141,-0.023181244,-0.037683853,-0.622008893,-0.031939523,0,-0.029768246,-0.0228058,-0.01818985,-0.027828078,-0.032697049,-0.011834102,-0.06819,-0.485869399
10-sy2308220,-0.020832221,-0.01114972,-0.019684906,-0.01818985,-0.552923681,-0.058723532,-0.062876462,-0.032128785,-0.121784452,-0.032098412,-0.50777797,-0.083415215,-0.026388796,-0.444164886,-0.026332555,-0.015778803,-0.029957993,-0.042353629,-0.013922473,-1.198823939,-0.020117974,-0.0291648,-0.036805004,-0.533403991
