ĞòºÅ,a58_intelligibility_lda,a62_intelligibility_lda,a66_intelligibility_lda,a70_intelligibility_lda,c58_intelligibility_lda,c62_intelligibility_lda,c66_intelligibility_lda,c70_intelligibility_lda,cl58_intelligibility_lda,cl62_intelligibility_lda,cl66_intelligibility_lda,cl70_intelligibility_lda,i58_intelligibility_lda,i62_intelligibility_lda,i66_intelligibility_lda,i70_intelligibility_lda,s58_intelligibility_lda,s62_intelligibility_lda,s66_intelligibility_lda,s70_intelligibility_lda,v58_intelligibility_lda,v62_intelligibility_lda,v66_intelligibility_lda,v70_intelligibility_lda
01-21377035,0.567609072,0.999863267,0.996639729,0.54167074,0.90763545,0.550469518,0.725428581,0.992168546,0.996207476,0.999775887,0.999884725,0.997846365,0.999895215,0.915939987,0.546616077,0.302801639,0.999750257,0.996523738,0.999952018,0.999978006,0.536130846,0.794710517,0.994997621,0.546712697
02-22377202,0.999998271,0.999724746,0.999221623,0.994907022,0.999487996,0.999849081,0.999303102,0.998667777,0.998243868,0.456980646,0.536746144,0.08101064,0.99999547,0.999603093,0.52835238,0.570401371,0.998791695,0.838153362,0.540553093,0.427867949,0.999971986,0.999903917,0.999945581,0.999991953
03-21377053,0.535697877,0.999991655,0.99833256,0.544529676,0.999941885,0.444542587,0.999920011,0.964881778,0.999253273,0.830130816,0.536797285,0.999969721,0.631395221,0.538508177,0.686395049,0.963367224,0.999997377,0.999860227,0.646775663,0.99998188,0.99934274,0.549737275,0.999657989,0.999480426
04-21377256,0.998194039,0.21240516,0.860135853,0.54849273,0.99998343,0.085407689,0.992532969,0.998154521,0.999624372,0.589979351,0.999273896,0.999699831,0.999823809,0.999284625,0.999007106,0.929593325,0.550233603,0.999231458,0.675824463,0.997978091,0.999139726,0.999962091,0.871164799,0.998752952
05-21377006,0.273303747,0.998638093,0.15939182,0.996329546,0.893507242,0.999977946,0.999786973,0.999223351,0.543521523,0.535057902,0.889367223,0.603055716,0.999862194,0.999293685,0.840568423,0.99997133,0.999858499,0.99997735,0.999997139,0.999943435,0.745587945,0.86240375,0.999931455,0.549637318
06-21377242,0.999926269,0.998542547,0.994653046,0.540481091,0.999960065,0.999924242,0.999907494,0.931724608,0.541799843,0.998817921,0.999990284,0.999917567,0.914015472,0.614452362,0.53546685,0.861265898,0.994648337,0.754218876,0.531510949,0.53582716,0.99980092,0.566771567,0.907619536,0.171513945
07-sy2308207,0.999979019,0.999604523,0.546999574,0.997993588,0.998476982,0.999976754,0.998580694,0.999737859,0.862642109,0.999556661,0.99969244,0.963362455,0.999897361,0.552641511,0.557793558,0.999815345,0.597963035,0.999436498,0.9998492,0.587464809,0.994249642,0.999985695,0.998725414,0.998434305
08-21377175,0.998850644,0.999841809,0.59877795,0.689054251,0.999752879,0.10048496,0.870972514,0.999188125,0.999990404,0.978707194,0.568530321,0.999722958,0.28703931,0.568410099,0.997889102,0.31021288,0.996481359,0.999838769,0.57940191,0.999494314,0.763839722,0.532738268,0.172813818,0.996597648
09-21377163,0.999740124,0.992696464,0.999043941,0.583345175,0.791878939,0.549737334,0.999447465,0.571327388,0.999634564,0.99955833,0.998730659,0.999960184,0.596519291,0.998340726,0.998750448,0.606785357,0.824790061,0.482724369,0.915331304,0.565777957,0.612260282,0.532461286,0.999034166,0.999577045
10-sy2308220,0.993707895,0.99984622,0.993840814,0.999455094,0.999986529,0.99955368,0.075104319,0.999666452,0.536457002,0.999292254,0.555822909,0.769055605,0.999613106,0.999064445,0.544651926,0.99877584,0.99864912,0.885071754,0.999186695,0.99981904,0.688825846,0.996794462,0.208717212,0.868089676
11-22377339,0.99986434,0.999947548,0.541642368,0.529948235,0.999849319,0.99988842,0.541298628,0.880856991,0.999990463,0.999941528,0.60845083,0.999953091,0.99999547,0.999994516,0.698793709,0.702521265,0.538912892,0.999991477,0.979218006,0.999531865,0.999758363,0.999998689,0.934671223,0.998860836
12-20377292,0.539809048,0.999044418,0.918089032,0.999796748,0.533079922,0.998825073,0.842247009,0.999184489,0.999997437,0.998792291,0.924258828,0.999257922,0.99975282,0.98848772,0.99990046,0.998025835,0.723354518,0.999945045,0.098738492,0.989550889,0.9999789,0.999985576,0.999873757,0.999462128
13-20377387,0.9999156,0.533912718,0.612763405,0.997359037,0.999929905,0.999931872,0.920505583,0.999627054,0.531139016,0.998952627,0.563635409,0.72155416,0.113923237,0.999955714,0.999967933,0.572295547,0.690884829,0.999992967,0.999976337,0.936561346,0.999999762,0.999934733,0.999895811,0.999864817
14-20377359,0.602138162,0.514604986,0.552554429,0.999360323,0.981718242,0.999871016,0.999982357,0.547608852,0.999880672,0.661115348,0.52786994,0.99998951,0.999928176,0.690220296,0.999984205,0.563465953,0.630008459,0.999942362,0.590408623,0.69727248,0.542461753,0.70127815,0.792449594,0.999883175
15-BY2308108,0.998156965,0.999671757,0.568056464,0.545767069,0.534496009,0.999988377,0.999736369,0.158623949,0.999849796,0.547484219,0.531243324,0.999789953,0.999294102,0.999897838,0.768650293,0.697838426,0.549951136,0.999786079,0.371975541,0.999792695,0.997775197,0.121689655,0.999704719,0.996605754
16-by2308145,0.557468235,0.955398917,0.754880786,0.99107039,0.999893308,0.999689281,0.596892238,0.999388695,0.653958797,0.999991894,0.999996006,0.545961499,0.971385717,0.545126081,0.99997139,0.993891716,0.999998808,0.986644268,0.9998945,0.98146522,0.537964106,0.999174833,0.696288228,0.98974812
17-zy2308131,0.999603808,0.534568489,0.986865163,0.644571066,0.999337792,0.674023688,0.970900774,0.600746989,0.999830961,0.99881506,0.297030628,0.686578214,0.545830011,0.999567866,0.584942102,0.719183803,0.825656533,0.918295622,0.999248743,0.999398708,0.554477334,0.996498048,0.999859333,0.605048478
18-BY2308106,0.086874865,0.554661095,0.574013054,0.606658459,0.999996901,0.185649067,0.999367893,0.565503061,0.999758601,0.998900652,0.474868685,0.549133301,0.999904394,0.987327337,0.679869175,0.999068379,0.714753747,0.995308101,0.53564465,0.999917805,0.999965608,0.535381675,0.559936523,0.99984926
19-BY2308111,0.998857021,0.716585934,0.653719544,0.36337623,0.643237054,0.996257186,0.812297583,0.999641061,0.999365807,0.891475916,0.999637246,0.535939753,0.550988138,0.999866486,0.578904986,0.621964276,0.970405221,0.999923348,0.999758124,0.999264181,0.999538541,0.160091549,0.999866724,0.999857426
