ĞòºÅ,a58_intelligibility_levenshtein,a62_intelligibility_levenshtein,a66_intelligibility_levenshtein,a70_intelligibility_levenshtein,c58_intelligibility_levenshtein,c62_intelligibility_levenshtein,c66_intelligibility_levenshtein,c70_intelligibility_levenshtein,cl58_intelligibility_levenshtein,cl62_intelligibility_levenshtein,cl66_intelligibility_levenshtein,cl70_intelligibility_levenshtein,i58_intelligibility_levenshtein,i62_intelligibility_levenshtein,i66_intelligibility_levenshtein,i70_intelligibility_levenshtein,s58_intelligibility_levenshtein,s62_intelligibility_levenshtein,s66_intelligibility_levenshtein,s70_intelligibility_levenshtein,v58_intelligibility_levenshtein,v62_intelligibility_levenshtein,v66_intelligibility_levenshtein,v70_intelligibility_levenshtein
01-22377201,0.566666667,0.080208333,0.112637363,0.07717803,0.505005562,0.085057471,0.051149425,0.061583578,0.046963947,0.070242656,0.079411765,0.066017316,0.083982202,0.042982456,0.08030303,0.082589286,0.117682198,0.053713528,0.700721154,0.048484848,0.067857143,0.085829493,0.262365591,0.089285714
02-22377333,0.594951923,0.088888889,0.085057471,0.088761175,0.277419355,0.083874459,0.102977667,0.046432063,0.082589286,0.048484848,0.083333333,0.086206897,0.714682981,0.053571429,0.069047619,0.06797235,0.064583333,0.109970674,0.076704545,0.067857143,0.092175066,0.072944297,0.583333333,0.107407407
03-21377348,0.060606061,0.120689655,0.066017316,0.065151515,0.737096774,0.065625,0.064583333,0.100446429,0.118087558,0.067857143,0.053571429,0.805339266,0.643548387,0.067816092,0.074933687,0.093406593,0.0625,0.031280547,0.033370412,0.05,0.094819159,0.118965517,0.588942308,0.1191067
04-21379216,0.064705882,0.83759733,0.085714286,0.069047619,0.673076923,0.046078431,0.064583333,0.131182796,0.082373272,0.068965517,0.052380952,0.756989247,0.65,0.097311828,0.078690127,0.101724138,0.103448276,0.064732143,0.048484848,0.071428571,0.04740958,0.048160173,0.07717803,0.064583333
05-21377151,0.08030303,0.394086022,0.1,0.072944297,0.061079545,0.052380952,0.086206897,0.131868132,0.116666667,0.110948192,0.117682198,0.733333333,0.742788462,0.047916667,0.061669829,0.066017316,0.824092742,0.101958525,0.083333333,0.053166069,0.098214286,0.051190476,0.053001277,0.067340067
06-21377076,0.051190476,0.666666667,0.053571429,0.094819159,0.088761175,0.069047619,0.707526882,0.118965517,0.048160173,0.04740958,0.064583333,0.428240741,0.058874459,0.069295102,0.082589286,0.085714286,0.394086022,0.131868132,0.092175066,0.099875931,0.101958525,0.083333333,0.08030303,0.103448276
07-21377259,0.092175066,0.709134615,0.088888889,0.07771261,0.063636364,0.102977667,0.658064516,0.048160173,0.067857143,0.07717803,0.052188552,0.06155303,0.070242656,0.137931034,0.084101382,0.066666667,0.5,0.136206897,0.094819159,0.064583333,0.073412698,0.089285714,0.083333333,0.65200391
08-y2342116,0.094819159,0.072481572,0.066905615,0.048491379,0.08125,0.047916667,0.710606061,0.067241379,0.032795699,0.119815668,0.082027168,0.051149425,0.048484848,0.852150538,0.126923077,0.071428571,0.918269231,0.048160173,0.058080808,0.068287037,0.101724138,0.052380952,0.049499444,0.656989247
09-21377174,0.060606061,0.051724138,0.063541667,0.084101382,0.052339901,0.049634274,0.558894231,0.05,0.089285714,0.126923077,0.512903226,0.08030303,0.066666667,0.296774194,0.101724138,0.053703704,0.074025974,0.067241379,0.064732143,0.086206897,0.048160173,0.099875931,0.109970674,0.666666667
10-21377335,0.063541667,0.063636364,0.072751323,0.075549451,0.094819159,0.103448276,0.076704545,0.035714286,0.069047619,0.101149425,0.590860215,0.08172043,0.092175066,0.666666667,0.082027168,0.067617866,0.087484036,0.033333333,0.084101382,0.758064516,0.051190476,0.047916667,0.031280547,0.622596154
11-21377187,0.101958525,0.084482759,0.086206897,0.085057471,0.058080808,0.838709677,0.083908046,0.053703704,0.135235732,0.082027168,0.816666667,0.055702918,0.079667644,0.609375,0.065151515,0.048958333,0.063636364,0.071428571,0.121428571,0.723655914,0.033333333,0.072751323,0.062026515,0.06155303
12-22377142,0.115546218,0.092175066,0.402669633,0.048160173,0.047916667,0.624193548,0.081818182,0.051488834,0.047916667,0.066129032,0.837284483,0.094819159,0.031280547,0.061079545,0.033333333,0.05489418,0.083333333,0.053703704,0.085057471,0.516666667,0.071428571,0.068965517,0.13421659,0.071519796
13-21377181,0.101724138,0.109970674,0.281182796,0.051190476,0.079637097,0.25,0.069047619,0.047916667,0.08781362,0.05,0.059821429,0.044700461,0.046875,0.101553166,0.070812808,0.068965517,0.051488834,0.146774194,0.060714286,0.640625,0.071684588,0.334816463,0.112637363,0.048484848
14-21377369,0.048160173,0.031280547,0.316666667,0.1,0.103448276,0.739182692,0.072944297,0.05489418,0.086206897,0.052380952,0.070242656,0.033482143,0.118087558,0.048484848,0.052380952,0.235817575,0.094819159,0.048958333,0.066129032,0.076704545,0.099875931,0.708064516,0.136206897,0.069047619
15-22377053,0.065625,0.066964286,0.418269231,0.071428571,0.101724138,0.046401515,0.094819159,0.103448276,0.790322581,0.072222222,0.08030303,0.1359447,0.112637363,0.120238095,0.099875931,0.231182796,0.031280547,0.053703704,0.05,0.063973064,0.047916667,0.666666667,0.063311688,0.092175066
16-22377084,0.05,0.06797235,0.07717803,0.037037037,0.033008658,0.034482759,0.015151515,0.327030033,0.243548387,0.064516129,0.033333333,0.09478022,0.085057471,0.034482759,0.015625,0.466666667,0.035714286,0.068965517,0.017857143,0.033333333,0.018518519,0.692307692,0.033333333,0.031280547
17-21377185,0.017857143,0.11025641,0.053001277,0.035359801,0.033333333,0.033333333,0.017857143,0.162365591,0.533333333,0.015625,0.035759898,0.067816092,0.015151515,0.015151515,0.034647551,0.421875,0.084101382,0.346496107,0.088888889,0.051190476,0.103448276,0.04592803,0.05,0
18-21377184,0.072222222,0.067816092,0.015151515,0.03125,0.05,0.033333333,0.06797235,0.533333333,0.770432692,0.018518519,0.063538612,0.015151515,0.016666667,0.031280547,0.068965517,0.015625,0,0.182258065,0.098998888,0.055702918,0.296996663,0.034482759,0.017857143,0.066964286
19-y2314202,0.097849462,0.015151515,0.017857143,0.018518519,0.017857143,0.036472149,0.08781362,0.197115385,0.030776515,0.051724138,0.016129032,0.033333333,0.033333333,0.033482143,0.468298109,0.053001277,0.050574713,0.6,0.015625,0.079667644,0.162903226,0.031818182,0.072222222,0.06797235
