,0.0
cl70,-0.08429324670789354
i58,-0.02568839688610492
c58,-0.031256739118600115
v66,-0.012282035351298083
a58,-0.05748670054136922
s66,-0.10336788133809251
a70,0.0
cl62,-0.02693679500034666
i66,-0.011635612438071867
v58,-0.059608811571633356
s62,-0.06286952852364358
c70,-0.029821478113256892
cl58,-0.019684905973998294
i70,-0.0797371898077582
v62,-0.013235509148306747
a66,-0.014792627871636954
c62,-0.01013610952518738
s70,-0.2456729474035726
cl66,-0.06637302482504301
i62,-0.022825379987333777
v70,-0.2719287675740032
c66,-0.24486796631803284
s58,-0.5476613656198444
a62,-1.2830484057166955
