,-0.009233722962903616
c62,-0.016801149832318493
s70,-0.056673958074832415
cl66,-0.022696491701906515
i62,-0.09451258477546841
v70,-0.07567657115798827
c66,-0.06859207654793341
s58,-0.15311910321741395
a62,-0.0691487824891128
cl70,-0.06922949843926095
i58,-0.08879361617107112
c58,-0.03133814321528797
v66,-0.09887426638431848
a58,-0.09363611374197305
s66,-0.04235362927458159
a70,-0.016810300142160055
cl62,-0.315912940903605
i66,-0.014204440884544738
v58,-0.05248252954185222
s62,-0.0989584519179254
c70,-0.037727551132860554
cl58,-1.13748015344017
i70,-0.12716330034161305
v62,-0.48838757551357004
a66,-0.6711115594703665
