,0.0
i70,-0.028455088927953596
v62,-0.05519182971879036
a66,0.0
c62,-0.0488873412109763
s70,-0.022016127779251205
cl66,-0.05674396054230454
i62,-0.07472830477818482
v70,-0.01613471591412632
c66,-0.11888859112290062
s58,-0.022996961806970643
a62,-0.010433649833082924
cl70,-0.13797895421057993
i58,-0.09656420619272371
c58,-0.010058986952713128
v66,-0.02398557154051925
a58,-0.012920985167261563
s66,-0.10862718389076625
a70,0.0
cl62,-0.012677993505907093
i66,-0.016562012416089414
v58,-0.8867028436080464
s62,-0.37497393254361405
c70,-0.17166008158401697
cl58,-1.1293951687501669
