,0.0
c70,-0.041214799294087084
cl58,-0.05431701177973913
i70,-0.023552341524758692
v62,-0.011421396377776465
a66,-0.05311257816768696
c62,-0.34566329381202643
s70,-0.11055519112463225
cl66,-0.051515353237693184
i62,-0.058057311816498834
v70,-0.06558964001289316
c66,-0.023944058892945794
s58,-0.11031369484135416
a62,-0.1758007490348407
cl70,-0.07947651660843305
i58,-0.05518768222123354
c58,-0.1899772747548592
v66,-0.043415282332427176
a58,-0.10857477770698448
s66,-0.08103682304229044
a70,-0.02540714660524459
cl62,-2.9242779335985327
i66,-0.7123237451592995
v58,-1.6305381382300264
s62,-3.6839406761884432
