,0.0
s62,-0.012462461711326001
c70,-0.07273226298889282
cl58,-0.029913980807088063
i70,-0.014792627871636954
v62,-0.01095533232473707
a66,-0.011266065387038702
c62,-0.014792627871636954
s70,-0.026884778306338824
cl66,-0.19539684833643695
i62,-0.1318194841010211
v70,-0.015433463736112202
c66,0.0
s58,-0.019684905973998294
a62,-0.10279256739998817
cl70,-0.18195200618318513
i58,-0.19418177701488143
c58,-0.03624232264272182
v66,-0.11085445215559407
a58,-0.09147342973895808
s66,-0.061930907480318494
a70,-0.27232600339619384
cl62,-0.4462051025084109
i66,-0.1492267295182717
v58,-1.0809709615331198
