,0.0
v58,-0.011635612438071867
s62,-0.06057786153877908
c70,-0.0088951984843447
cl58,-0.02832809190149173
i70,-0.06541591164857456
v62,-0.08814548080642977
a66,0.0
c62,-0.05095704105357093
s70,-0.04195217307292679
cl66,-0.014491760864078235
i62,0.0
v70,0.0
c66,-0.011635612438071867
s58,-0.05852377808691799
a62,-0.014568926789872047
cl70,-0.11928775115688037
i58,-0.01013610952518738
c58,-0.06737718572483976
v66,-0.030866927472224404
a58,-0.1091977553126136
s66,-1.3331314799634157
a70,-0.3270180756684532
cl62,-0.8655630201335522
i66,-0.7355279440920617
