,0.0
a70,-0.010595681241694617
cl62,-0.04965569477713955
i66,-0.023947521314291856
v58,-0.06137393276830475
s62,-0.10422148510542048
c70,-0.06092034292316146
cl58,-0.15326553040658647
i70,-0.020832221499701743
v62,-0.04526342059878949
a66,-0.0691487824891128
c62,-0.051683940669046254
s70,-0.04446148564962878
cl66,-0.05884288840970218
i62,-0.05082435512949791
v70,-0.11941486389258273
c66,-0.20325011954097516
s58,-0.01891276825544171
a62,-0.08350095599433072
cl70,-0.02484406056716574
i58,-0.13032596027193188
c58,-1.6119559747290586
v66,-0.15874419842858264
a58,-0.38200566328686414
s66,-2.0697327449205773
