,0.07393483709273183
v62,0.0625
a66,0.05
c62,0.05263157894736842
s70,0.1456140350877193
cl66,0.10317460317460317
i62,0.11688311688311688
v70,0.08496732026143791
c66,0.08055555555555555
s58,0.09126984126984126
a62,0.11011904761904762
cl70,0.075
i58,0.2198142414860681
c58,0.09761904761904762
v66,0.07261904761904761
a58,0.1380952380952381
s66,0.1
a70,0.048611111111111105
cl62,0.07177033492822966
i66,0.11805555555555555
v58,0.12669683257918551
s62,0.3117408906882591
c70,0.21764705882352942
cl58,0.3418181818181818
i70,0.1607142857142857
