,0.115927554666996
cl70,0.015769485384225845
i58,0.09858804196119308
c58,-0.005235519725829363
v66,-0.03425518050789833
a58,0.022503536194562912
s66,0.03584654629230499
a70,0.041552603244781494
cl62,0.044280145317316055
i66,0.11667877435684204
v58,0.17045307159423828
s62,0.20178428292274475
c70,-0.014779421500861645
cl58,0.022566597908735275
i70,0.07722796499729156
v62,0.05287998914718628
a66,0.34103524684906006
c62,0.1800747811794281
s70,0.07840142399072647
cl66,0.020899513736367226
i62,0.12507246434688568
v70,0.7993711233139038
c66,0.5926737189292908
s58,0.7414007186889648
a62,0.8704853653907776
