ÐòºÅ,a58_intelligibility_transformer,a62_intelligibility_transformer,a66_intelligibility_transformer,a70_intelligibility_transformer,c58_intelligibility_transformer,c62_intelligibility_transformer,c66_intelligibility_transformer,c70_intelligibility_transformer,cl58_intelligibility_transformer,cl62_intelligibility_transformer,cl66_intelligibility_transformer,cl70_intelligibility_transformer,i58_intelligibility_transformer,i62_intelligibility_transformer,i66_intelligibility_transformer,i70_intelligibility_transformer,s58_intelligibility_transformer,s62_intelligibility_transformer,s66_intelligibility_transformer,s70_intelligibility_transformer,v58_intelligibility_transformer,v62_intelligibility_transformer,v66_intelligibility_transformer,v70_intelligibility_transformer
01-21377035,0.653409302,0.119380757,0.135381401,0.036515977,0.888473094,0.154599801,0.286964595,0.073082402,0.016460676,0.087600119,0.003468493,0.06405092,0.201682955,0.066861257,-0.053826496,0.056676276,0.183116257,0.01462396,0.851691484,0.011865186,0.027719172,0.124337375,0.60230279,0.012691944
02-22377202,0.919399858,0.022798887,0.142340034,0.074571125,0.780660927,0.027548982,0.220589012,-0.000852477,0.069467776,0.067171387,0.100992739,0.14919427,0.931827784,0.061326619,0.027580442,0.086692795,0.091405161,0.018161034,-0.061338734,0.030925205,0.054343671,0.067099817,0.646451116,0.357850254
03-21377053,-0.014729002,0.18163529,-0.009396676,-0.019884042,0.849235475,0.008652832,0.089336574,0.065109499,0.119965978,0.003894677,0.075687706,0.943392992,0.755407095,0.368886352,0.011140205,0.154209301,0.071933746,0.034045529,0.117264941,0.096752651,0.04946335,0.149420947,0.825648844,0.210930586
04-21377256,0.087285496,0.796348631,0.032337375,-0.034544345,0.897056818,0.091619387,0.06937331,0.091757834,0.142508268,0.031013455,0.34409982,0.699057817,0.661275148,0.156587705,0.066185214,0.120995075,0.125952452,0.111910842,0.010116399,0.093657039,-7.93394E-05,-0.010737101,-0.003459608,0.085155927
05-21377006,0.001559625,0.738069117,0.059608884,0.074679114,0.02252268,0.106104396,0.139241502,0.142093122,0.184521228,0.019905571,0.157392442,0.679273248,0.82005769,0.110829338,0.038752116,0.026952546,0.886336446,0.108602792,0.001371442,0.38157624,0.130524904,0.040262863,0.065239362,0.052724183
06-21377242,-0.023087004,0.760756969,0.023871152,0.057528473,0.10697604,0.347882569,0.840424538,0.196482152,0.00851052,0.077551492,0.083096601,0.955263019,0.007028533,0.051970366,0.118754625,0.042846434,0.742925167,0.106933333,0.024846664,0.161802858,0.112889566,0.086655408,-0.009885203,0.110889554
07-sy2308207,0.022503536,0.870485365,0.341035247,0.041552603,-0.00523552,0.180074781,0.592673719,-0.014779422,0.022566598,0.044280145,0.020899514,0.015769485,0.098588042,0.125072464,0.116678774,0.077227965,0.741400719,0.201784283,0.035846546,0.078401424,0.170453072,0.052879989,-0.034255181,0.799371123
08-21377175,0.000960384,0.005446119,0.183248103,0.081930548,-0.047632672,0.108982354,0.706474066,0.049549345,0.088057734,0.091886453,0.173226655,0.079192594,-0.008579353,0.831563234,0.164187744,0.045485001,0.861204982,0.006746451,0.03189243,0.079009861,0.185042679,0.363238394,0.075905904,0.7247051
09-21377163,-0.007001292,0.048859879,0.091674976,0.108361691,0.058000054,0.012970582,0.887995839,0.071417831,0.015995301,0.155341029,0.791508436,-0.029873252,-0.04123817,0.739099801,0.168475077,0.363546371,0.041523181,0.036099724,0.043424517,0.128315032,-0.020206366,0.216692686,0.036339831,0.851368666
10-sy2308220,0.11976435,-0.021148374,0.046659324,0.120387599,0.061015163,0.202605456,0.019590823,-0.002823817,0.359200686,0.178744152,0.653778791,-0.04898132,0.089923896,0.679778695,-0.004023739,0.169110388,0.138251886,0.040127542,0.115390599,0.922308683,0.04286965,0.081512876,0.004341356,0.837110639
