ÐòºÅ,a58_intelligibility_transformer,a62_intelligibility_transformer,a66_intelligibility_transformer,a70_intelligibility_transformer,c58_intelligibility_transformer,c62_intelligibility_transformer,c66_intelligibility_transformer,c70_intelligibility_transformer,cl58_intelligibility_transformer,cl62_intelligibility_transformer,cl66_intelligibility_transformer,cl70_intelligibility_transformer,i58_intelligibility_transformer,i62_intelligibility_transformer,i66_intelligibility_transformer,i70_intelligibility_transformer,s58_intelligibility_transformer,s62_intelligibility_transformer,s66_intelligibility_transformer,s70_intelligibility_transformer,v58_intelligibility_transformer,v62_intelligibility_transformer,v66_intelligibility_transformer,v70_intelligibility_transformer
01-21377035,1.7082988611870225,-0.2708510108961242,-0.2115514232198737,-0.5779541054267697,2.579462918284718,-0.1403265902820712,0.35022727161572675,-0.44243618969196946,-0.6522805562885658,-0.38863244078658216,-0.7004305616829982,-0.47590753988921636,0.03416711251497883,-0.4654922200226341,-0.9127700914928799,-0.503238524095798,-0.03464246389391219,-0.6590875636489179,2.443147510788079,-0.6693117871671688,-0.6105557250471035,-0.2524814125431653,1.518894291647737,-0.6662477599625111
02-22377202,2.4126023242207797,-0.6093560443112537,-0.20644730202240777,-0.4348597489221957,1.9449882047435005,-0.5933460356219231,0.05728780595148147,-0.6890720380239096,-0.45206038634832857,-0.4598002753071984,-0.34580673635589204,-0.1833453687097642,2.454490160832543,-0.47949983636168697,-0.5932400009271714,-0.39400413613356794,-0.37812129155734253,-0.6249877457466644,-0.8929385923044194,-0.5819666085647552,-0.5030355884165707,-0.46004149918206727,1.492639306394435,0.519921432674378
03-21377053,-0.7593447004222177,-0.10768379859481692,-0.7416486705860105,-0.7764523831945841,2.107835806248815,-0.6817489885153982,-0.4139893080815985,-0.4943900641576578,-0.3123415755443824,-0.6975395558673002,-0.45928488366314646,2.4203099929611773,1.7964539042490155,0.5137336428769682,-0.6734943118842666,-0.1987005743192362,-0.4717428969511428,-0.5974799615028397,-0.3213053244488379,-0.3893780746612094,-0.5463138811796746,-0.21459136105101553,2.0295604483821714,-0.01046348009281226
04-21377256,-0.3919897301205172,2.2029822054088526,-0.5930844209410632,-0.8378527325808064,2.5715458861917266,-0.37612890622273654,-0.457543300288824,-0.3756222290852229,-0.18988989377500326,-0.5979295963215122,0.5478785700724503,1.8469251500454995,1.708651192671597,-0.13836310852892808,-0.4692108362802042,-0.2686221382296905,-0.2504795306763606,-0.3018678797260521,-0.6744069523967023,-0.3686716721720969,-0.711720491493611,-0.7507249057444839,-0.7240913252298075,-0.39978335457650216
05-21377006,-0.7489529491979547,1.9251085293057246,-0.538192206758558,-0.48347638577740687,-0.672841916745363,-0.369379911855364,-0.2490682802658378,-0.23871483977911198,-0.08467016677376953,-0.6823439129015038,-0.1831672566132715,1.7116370532476148,2.222786274288252,-0.35222495930199743,-0.6139173406240265,-0.6567583032221129,2.463426035469693,-0.3603089296423504,-0.7496361894232,0.6307818707884025,-0.2807158274985382,-0.6084322377158551,-0.5177495044052224,-0.5631886445982427
06-21377242,-0.7859757583270989,1.8796041123934188,-0.6262874533693035,-0.5118306476141881,-0.3436767243954608,0.47556232897102924,2.1505257187213633,-0.039297665970709536,-0.6785236035103029,-0.44373934598284354,-0.4248823649502788,2.5410513257068246,-0.683563324235271,-0.530731830309779,-0.3036218663330762,-0.561759139721805,1.8189643752682423,-0.34382195600208165,-0.6229700774113126,-0.15722984533467438,-0.3235668856857838,-0.41278010400327875,-0.7410810392056725,-0.33036822869795934
07-sy2308207,-0.6218087080230982,2.4988288902945603,0.5504122047472562,-0.5517066932627416,-0.7238905429576048,-0.041934547110242866,1.4764609124565404,-0.7590128278902684,-0.6215766350688261,-0.5416691313420715,-0.6277116309284528,-0.6465905276575713,-0.34181194163834877,-0.2443472552070652,-0.27523667253516093,-0.42041864889263864,2.0237875793879736,0.03795807070899165,-0.5727054168242386,-0.4161002305607238,-0.07734316771816314,-0.5100210516211716,-0.8306851016497729,2.237123073292837
08-21377175,-0.727252720204429,-0.7111383858954027,-0.07241126291908928,-0.4363794760754981,-0.9018160302263626,-0.3391998955726542,1.8072000130355197,-0.5527041208595629,-0.4143684737363974,-0.40061437146746687,-0.10841182098427218,-0.4462151676798251,-0.7615228033096922,2.2565642023132995,-0.14088276134154604,-0.5673046708169022,2.3630477633742877,-0.7064671370229827,-0.6161339559202746,-0.44687160874272597,-0.06596451615251588,0.574177026748699,-0.4580221115653052,1.8726922850210976
09-21377163,-0.6928203798536515,-0.5046708134429154,-0.36046255944151595,-0.30425897230100424,-0.47388520812203433,-0.6255518395376983,2.321676436485963,-0.4286919391741644,-0.6153640909070026,-0.14602487307377146,1.9966910716330142,-0.7698568844583205,-0.8081357883143383,1.8201702115273688,-0.10178724983422645,0.5552447945760354,-0.5293820130628897,-0.5476491038655023,-0.5229780022339523,-0.23705285416224264,-0.7372972302856213,0.06061754878183563,-0.546840384192544,2.1983101232591777
10-sy2308220,-0.2877910692089088,-0.7917818045297134,-0.5492596915129282,-0.28556194672173046,-0.4979143647860311,0.00849977481543001,-0.646073331443854,-0.7262418966016118,0.5685808155838316,-0.07684295228047976,1.6221736461954885,-0.8913295708526768,-0.3945189212215251,1.7151653247555476,-0.730533557098556,-0.11129922893486542,-0.22166824794466417,-0.5726213690086751,-0.3034342980105897,2.5826020154937517,-0.5628139010382947,-0.42460191184342233,-0.7006148225769071,2.277881308771382
11-22377339,-0.372886465359522,-0.7125282643064295,-0.07951422894178496,-0.12575904360568207,-0.5711710723798502,2.152645358059596,-0.4748758645582036,0.34447716476281975,-0.06885826343794624,-0.4933239324063635,1.8745634166202911,-0.7038425234615046,-0.4685150581710828,2.276876850755151,-0.731264065702264,-0.3385790312770343,-0.7132750433853435,-0.43016336842377867,-0.30069211666714696,2.1621535764886803,-0.49421559741596466,-0.518609224655724,-0.5403687419822867,-0.6722744605486278
12-20377292,-0.2938572443372459,-0.7837243216957707,2.4748545632694574,-0.7919634921368964,-0.364260513685098,1.8133650764621414,-0.7955081679136135,-0.060891523939816894,-0.4248786765808272,-0.7533624769966345,1.923648479058593,-0.35805153016393254,-0.470929276898521,-0.6215916390698888,-0.4734326699514678,-0.40029576645146964,-0.9439012854812252,0.8570550280855462,-0.02271744790110223,1.9289226801903756,-0.5331542302766555,-0.2714296685386575,-0.23041787055155813,-0.403478024495732
13-20377387,0.045909066876616146,-0.6090240384519545,1.6148137727841454,-0.6764360599515801,-0.17427417330161268,1.9477764655264793,-0.8273389749709619,-0.3323995215699803,-0.5266058831593285,-0.40529488131955604,-0.6017581423576213,-0.7522667652729127,-0.5332037279419507,-0.3539492748718201,-0.6537524494527993,-0.11100923688055717,-0.5482252701433911,-0.06459986690025075,-0.6643087567271468,2.37033520912268,0.5621650572870031,2.3257906276818328,-0.29145571117612534,-0.7408874648292055
