,-0.21299984943964154
cl58,-0.49008876816717595
i70,-0.0782485189907118
v62,-0.04767016892732285
a66,-0.017276061747897174
c62,-0.06307835700104013
s70,-0.055121733846872425
cl66,-0.14396283200787507
i62,-0.02569898341296402
v70,-0.06817179863161897
c66,-0.06806267173370494
s58,-0.15865140909976255
a62,-0.03759017761703793
cl70,0.0
i58,-0.025084755493050195
c58,-0.012208796829150497
v66,-0.04801425753085026
a58,-0.22753021153232972
s66,-0.06668794625035028
a70,-0.037213740968557535
cl62,-0.3307744300033213
i66,-2.1422454168715515
v58,-0.14595795353834762
s62,-2.1582687244528787
c70,-0.9231572800798427
