,-0.19462678733787644
cl62,-0.21386631557911798
i66,-0.08830285136741253
v58,-0.04813043336568221
s62,0.0
c70,-0.04669543153329169
cl58,-0.01236127428904839
i70,-0.03152433351927091
v62,-0.08430389065131003
a66,-0.02773262729971067
c62,-0.07254571926988398
s70,-0.10708078169244724
cl66,-0.030950729085271165
i62,-0.023581507874492313
v70,-0.127801281781441
c66,-0.014623657044442762
s58,-0.05996238590119071
a62,-0.19373294709389655
cl70,-0.09529234311049138
i58,-0.16528414865681962
c58,-0.157743528434103
v66,-0.01964645889201783
a58,-0.2380345147801695
s66,-2.340303873535126
a70,-1.5442161740871712
