,-1.142701417604111e-16
s66,4.574817465014072e-16
a70,-1.0029324783249031e-16
cl62,1.958574885215945e-17
i66,-2.234999515006571e-17
v58,-1.0658238237832098e-16
s62,6.746497863254546e-17
c70,1.173366825145655e-16
cl58,-1.749124313176954e-16
i70,0.0
v62,1.9586549880499584e-17
a66,0.0
c62,-6.190759071078969e-17
s70,3.559691865777224e-17
cl66,-5.27135502277092e-17
i62,1.1118729067872987e-16
v70,1.2947234333943364e-17
c66,-1.1668005499147773e-16
s58,2.179598719670201e-17
a62,7.288123187067042e-17
cl70,-4.8829758304015457e-17
i58,1.4059964596633165e-18
c58,-2.696241223312352e-16
v66,0.0
a58,-6.49916959448858e-17
