,1.7432852710575166e-16
c58,2.982336207001647e-17
v66,2.0152447651556908e-17
a58,3.8321814254920683e-17
s66,-3.861800419673828e-18
a70,-4.673226656750659e-17
cl62,9.940263066788516e-17
i66,1.0808942852862639e-16
v58,1.8978789005958408e-16
s62,0.0
c70,0.0
cl58,1.8315365550438342e-16
i70,1.9350749121485696e-16
v62,-6.775757008664287e-17
a66,-2.406912794677876e-16
c62,-2.880494701989651e-17
s70,-9.573783327240638e-17
cl66,6.407506349792661e-17
i62,-1.0765751049649762e-16
v70,9.414878014812038e-17
c66,-4.628479521700387e-17
s58,-2.0988370604757626e-16
a62,3.1532861990534886e-17
cl70,6.358847049564261e-18
i58,6.138291043798259e-17
