,-1.1455490408861587e-16
a62,1.999005429860435e-16
cl70,-4.808823185038723e-17
i58,-8.536866721772012e-17
c58,5.454401403499425e-17
v66,2.060962049892216e-16
a58,2.883207183854315e-17
s66,-7.744512020773947e-17
a70,-2.560782660304611e-17
cl62,0.0
i66,0.0
v58,0.0
s62,-3.673263386810049e-17
c70,1.350582939113185e-16
cl58,1.2824755533483163e-16
i70,1.235972187875731e-16
v62,-8.05784360383227e-17
a66,1.7325106873875204e-17
c62,6.024391327141648e-17
s70,-1.233451654751958e-16
cl66,7.962564945534857e-17
i62,0.16804846363812867
v70,2.9222391101579886e-17
c66,-4.5846329769752514e-17
s58,-9.684145552741047e-18
