ÐòºÅ,a58_intelligibility_bm25,a62_intelligibility_bm25,a66_intelligibility_bm25,a70_intelligibility_bm25,c58_intelligibility_bm25,c62_intelligibility_bm25,c66_intelligibility_bm25,c70_intelligibility_bm25,cl58_intelligibility_bm25,cl62_intelligibility_bm25,cl66_intelligibility_bm25,cl70_intelligibility_bm25,i58_intelligibility_bm25,i62_intelligibility_bm25,i66_intelligibility_bm25,i70_intelligibility_bm25,s58_intelligibility_bm25,s62_intelligibility_bm25,s66_intelligibility_bm25,s70_intelligibility_bm25,v58_intelligibility_bm25,v62_intelligibility_bm25,v66_intelligibility_bm25,v70_intelligibility_bm25
01-22377201,-1.702596319,-0.236018788,-0.13859128,-0.511749372,-2.115577992,-0.089626805,-0.227840982,-0.121746999,-0.157661246,-0.298825446,-0.094535622,-0.172037609,-0.319050164,-0.16964602,-0.268980463,-0.152534064,-0.343656383,-0.202922892,-3.92388589,-0.106931401,-0.245055089,-0.174679045,-0.659173394,-0.284571821
02-22377333,-2.743705933,-0.231298693,-0.172324614,-0.285102075,-1.923022413,-0.173190762,-0.220245203,-0.147787263,-0.195065087,-0.202127316,-0.170709172,-0.248443122,-3.99469039,-0.231315084,-0.254114778,-0.093517532,-0.224145627,-0.241964611,-0.546711929,-0.155629534,-0.265202493,-0.126999407,-1.918749703,-0.275772262
03-21377348,-0.383967221,-0.338614283,-0.1480089,-0.171271432,-2.954008832,-0.095638254,-0.211065721,-0.28123769,-0.267262637,-0.213918351,-0.235022168,-5.340621975,-3.308397953,-0.217937233,-0.172934237,-0.131605621,-0.212944744,-0.154414155,-0.245833609,-0.248109574,-0.227500244,-0.210434419,-4.461682689,-0.37044773
04-21379216,-0.280133612,-4.412219721,-0.117324244,-0.272023259,-2.458726119,-0.247495056,-0.164533943,-0.235684966,-0.074339115,-0.222794348,-0.21858424,-4.371523998,-1.616637426,-0.299220242,-0.115192615,-0.245788522,-0.315208802,-0.163881499,-0.199393196,-0.250699491,-0.156189549,-0.077016445,-0.424349682,-0.22790469
05-21377151,-0.248448028,-1.536190883,-0.283041186,-0.121512356,-0.481126514,-0.333196133,-0.223665588,-0.199606593,-0.265324722,-0.289632453,-0.328548142,-3.422156181,-4.411752823,-0.175292913,-0.163074655,-0.123893681,-5.396466262,-0.236292496,-0.171676051,-0.250998139,-0.174925055,-0.153397709,-0.284714276,-0.178471218
06-21377076,-0.214685384,-2.534922773,-0.109562842,-0.241964611,-0.255767318,-0.215158603,-3.430496821,-0.307636516,-0.14771376,-0.152629631,-0.209121045,-1.9527979,-0.378579504,-0.241850325,-0.159030741,-0.151721966,-1.737186126,-0.134870632,-0.267550623,-0.372684805,-0.273762524,-0.161292172,-0.272098358,-0.397467838
07-21377259,-0.302161625,-5.156007984,-0.321244517,-0.189250808,-0.165779442,-0.233873181,-2.739365779,-0.16108481,-0.133351704,-0.153798471,-0.107833383,-0.419808264,-0.26245032,-0.426459222,-0.19548538,-0.290615566,-2.188637086,-0.236173464,-0.297373855,-0.225674114,-0.118312831,-0.306095025,-0.210451809,-3.736850155
08-y2342116,-0.235343026,-0.468816924,-0.197437691,-0.219630122,-0.211697646,-0.206924417,-2.723919106,-0.193098312,-0.256362482,-0.177267148,-0.253235419,-0.204916873,-0.18995041,-5.672023827,-0.154481836,-0.17233844,-6.271273247,-0.075290851,-0.147626536,-0.213472947,-0.203402985,-0.209814215,-0.143695052,-3.43807483
09-21377174,-0.210935372,-0.186165926,-0.259013616,-0.204550497,-0.167097429,-0.154900811,-2.188469764,-0.323615025,-0.28013358,-0.118842361,-4.830470339,-0.225890805,-0.229219559,-1.66039212,-0.282152327,-0.169150098,-0.525520041,-0.098147858,-0.106872192,-0.327615474,-0.152795924,-0.286605877,-0.318806091,-2.683482998
10-21377335,-0.19326432,-0.205501036,-0.230775973,-0.07163107,-0.226716449,-0.254837393,-0.485826281,-0.076099658,-0.215158603,-0.198421342,-3.191865965,-0.143802,-0.162850493,-2.82559145,-0.132078872,-0.178540266,-0.309596015,-0.342316649,-0.155600176,-5.711066954,-0.087607095,-0.213087779,-0.164296506,-2.200792747
11-21377187,-0.180332408,-0.257486675,-0.406536581,-0.181391403,-0.151837702,-4.421168468,-0.287723032,-0.180320608,-0.327130522,-0.140831475,-3.357446823,-0.222958659,-0.231274447,-4.993018518,-0.090814874,-0.235481762,-0.216669459,-0.205182963,-0.111441312,-4.403698243,-0.243510302,-0.198540509,-0.159174869,-0.33778861
