ĞòºÅ,a58_intelligibility_lda,a62_intelligibility_lda,a66_intelligibility_lda,a70_intelligibility_lda,c58_intelligibility_lda,c62_intelligibility_lda,c66_intelligibility_lda,c70_intelligibility_lda,cl58_intelligibility_lda,cl62_intelligibility_lda,cl66_intelligibility_lda,cl70_intelligibility_lda,i58_intelligibility_lda,i62_intelligibility_lda,i66_intelligibility_lda,i70_intelligibility_lda,s58_intelligibility_lda,s62_intelligibility_lda,s66_intelligibility_lda,s70_intelligibility_lda,v58_intelligibility_lda,v62_intelligibility_lda,v66_intelligibility_lda,v70_intelligibility_lda
01-22377201,0.999969184,0.092175685,0.567513466,0.147307888,0.573894978,0.099631399,0.071033567,0.139202714,0.071707368,0.999781013,0.089313,0.088014387,0.087971725,0.079162389,0.161321297,0.102329306,0.094916567,0.258280337,0.546872199,0.539225876,0.544848561,0.08088845,0.586942673,0.559265256
02-22377333,0.558639288,0.115665898,0.589663863,0.724357128,0.487293303,0.101890475,0.105604641,0.262282878,0.082569912,0.539225876,0.590468943,0.098792762,0.707452357,0.545056045,0.537867486,0.207587957,0.090940706,0.117891416,0.656016409,0.085392632,0.538402259,0.284434497,0.810932875,0.542686164
03-21377348,0.921787858,0.098391227,0.999735236,0.548609972,0.992703259,0.997458875,0.090665117,0.753314316,0.088425465,0.365738571,0.08457873,0.999918938,0.912400126,0.52435708,0.999919713,0.542515814,0.51338923,0.074610166,0.548494637,0.535430014,0.225099295,0.112354964,0.568242371,0.090524212
04-21379216,0.551300049,0.999993324,0.543249846,0.104639493,0.997607589,0.542193592,0.093073837,0.536433041,0.526311338,0.552192867,0.125471026,0.569070518,0.262829334,0.098965973,0.093101293,0.089212172,0.099857286,0.072814614,0.540717185,0.089332476,0.536715269,0.290700883,0.540753901,0.542401195
05-21377151,0.54597789,0.999413788,0.63775593,0.195404872,0.999875069,0.085556068,0.499890327,0.097367838,0.177388668,0.538186789,0.540128827,0.285681874,0.55213356,0.242292494,0.836194754,0.171631604,0.999994457,0.074977055,0.085545726,0.087220997,0.088226967,0.736486673,0.091983661,0.318620503
06-21377076,0.067112215,0.672659039,0.134928703,0.547607303,0.329675138,0.099087298,0.550049305,0.133287042,0.098020077,0.305355191,0.088205174,0.562137961,0.560091019,0.096207045,0.105946504,0.610745609,0.548385441,0.548518896,0.21911101,0.080711082,0.08282575,0.089816183,0.564900398,0.998356342
07-21377259,0.108330287,0.565306365,0.554737091,0.507952213,0.247974008,0.076384537,0.591219962,0.106632814,0.538170159,0.072266921,0.927530408,0.073604405,0.535226107,0.086279057,0.545745969,0.877070069,0.999833286,0.553006053,0.537403524,0.102369204,0.532501698,0.554586768,0.533941686,0.831511676
08-y2342116,0.090234406,0.437315583,0.100570761,0.993821025,0.518229365,0.084057033,0.551261425,0.994103849,0.999612093,0.08386863,0.081250459,0.091059923,0.211374432,0.927236438,0.541697502,0.595120192,0.999993801,0.078537136,0.529806972,0.54054302,0.534712911,0.074565761,0.539918065,0.789322197
09-21377174,0.531737804,0.241862863,0.139059141,0.595332265,0.376427203,0.184698373,0.584687591,0.091665849,0.224497288,0.097134963,0.88953203,0.836886764,0.074501842,0.127454966,0.514390945,0.77496177,0.531732917,0.172723636,0.242697597,0.081951469,0.07715492,0.091000378,0.092810735,0.619572043
10-21377335,0.537010968,0.091787875,0.547651708,0.554826617,0.999873281,0.194009244,0.754897475,0.083837837,0.540552676,0.086355239,0.553441525,0.076478824,0.609966099,0.61621207,0.543604255,0.310150892,0.549079001,0.075623408,0.093421444,0.999963403,0.915863276,0.448239923,0.069173798,0.999957204
